,instrument_token,tradingsymbol
1022,10920,IDFCFIRSTB-NE
1023,18783,IDFNIFTYET
1024,220,IEX
1025,1482,IFBAGRO
1026,1485,IFBIND
1027,1491,IFCI
1028,5753,IFCI-NF
1029,5755,IFCI-NG
1030,5759,IFCI-NH
1031,5761,IFCI-NI
1032,6646,IFCI-NL
1033,6652,IFCI-NM
1034,436,IFGLEXPOR
1035,634,IGARASHI
1036,11262,IGL
1037,14086,IGPL
1038,20052,IIFCL-N1
1039,20054,IIFCL-N2
1040,20056,IIFCL-N3
1041,20058,IIFCL-N4
1042,11809,IIFL
1043,18982,IIFL-N1
1044,18984,IIFL-N2
1045,18986,IIFL-N3
1046,18988,IIFL-N4
1047,19043,IIFL-N5
1048,19045,IIFL-N6
1049,19047,IIFL-N7
1050,19055,IIFL-N8
1051,19057,IIFL-N9
1052,19071,IIFL-NA
1053,19059,IIFL-NB
1054,19067,IIFL-NC
1055,19069,IIFL-ND
1056,13072,IIFLSEC
1057,13061,IIFLWAM
1058,19525,IITL
1059,9380,IL&FSENGG-BZ
1060,9381,IL&FSTRANS-BZ
1061,7678,IMAGICAA-BE
1062,19235,IMFA
1063,12009,IMPAL
1064,11684,IMPEXFERRO-BE
1065,16933,INDBANK
1066,1512,INDHOTEL
1067,1515,INDIACEM
1068,1521,INDIAGLYCO
1069,10726,INDIAMART
1070,14309,INDIANB
1071,4422,INDIANCARD
1072,1530,INDIANHUME
1073,11195,INDIGO
1074,20988,INDIGRID-IV
1075,2892,INDINFR-IV
1076,7683,INDLMETER-BE
1077,4747,INDNIPPON
1078,11677,INDOCO
1079,10993,INDORAMA
1080,10861,INDOSOLAR-BZ
1081,3088,INDOSTAR
1082,13275,INDOTECH
1083,25612,INDOTHAI-BE
1084,14956,INDOWIND-BE
1085,4751,INDRAMEDCO
1086,4870,INDSWFTLAB
1087,11605,INDSWFTLTD-BE
1088,21957,INDTERRAIN
1089,5258,INDUSINDBK
1090,19,INEOSSTYRO
1091,16249,INFIBEAM
1092,11027,INFOBEAN
1093,20072,INFRABEES
1094,29135,INFRATEL
1095,1594,INFY
1096,1597,INGERRAND
1097,666,INNOVANA-SM
1098,21861,INNOVATIVE-SM
1099,13221,INOXLEISUR
1100,7852,INOXWIND
1101,14657,INSECTICID
1102,13730,INSPIRISYS
1103,30327,INTEGRA-BE
1104,5926,INTELLECT
1105,20071,INTENTECH
1106,24870,INVENTURE
1107,9348,IOB
1108,1624,IOC
1109,20413,IOLCP
1110,1633,IPCALAB
1111,15313,IRB
1112,20817,IRBINVIT-IV
1113,4986,IRCON
1114,13611,IRCTC
1115,1374,IREDA-N1
1116,1380,IREDA-N2
1117,1383,IREDA-N3
1118,1387,IREDA-N4
1119,1391,IREDA-N5
1120,1393,IREDA-N6
1121,20030,IREDA-N7
1122,31126,IRFC-N1
1123,31128,IRFC-N2
1124,29321,IRFC-N3
1125,29323,IRFC-N4
1126,29605,IRFC-N5
1127,29607,IRFC-N6
1128,586,IRFC-N7
1129,591,IRFC-N8
1130,597,IRFC-N9
1131,603,IRFC-NA
1132,1987,IRFC-NB
1133,1991,IRFC-NC
1134,1993,IRFC-ND
1135,1999,IRFC-NE
1136,11722,IRFC-NF
1137,11730,IRFC-NG
1138,11748,IRFC-NH
1139,11751,IRFC-NI
1140,11754,IRFC-NJ
1141,11757,IRFC-NK
1142,15110,IRFC-NL
1143,15112,IRFC-NM
1144,15134,IRFC-NN
1145,15168,IRFC-NO
1146,5830,IRISDOREME-SM
1147,2489,ISEC
1148,18483,ISFT-BE
1149,14936,ISMTLTD-BE
1150,1660,ITC
1151,19299,ITDC
1152,5622,ITDCEM
1153,1675,ITI
1154,8942,IVC-BE
1155,1681,IVP
1156,18292,IVZINGOLD
1157,24217,IVZINNIFTY
1158,14174,IZMO
1159,5633,J&KBANK
1160,13211,JAGRAN
1161,4410,JAGSNPHARM
1162,11256,JAIBALAJI
1163,5143,JAICORPLTD
1164,10867,JAIHINDPRO-BZ
1165,8303,JAINSTUDIO-BE
1166,3949,JAKHARIA-SM
1167,20929,JALAN-SM
1168,20778,JAMNAAUTO
1169,13982,JASH
1170,4041,JAYAGROGN
1171,1708,JAYBARMARU
1172,8861,JAYNECOIND-BE
1173,1720,JAYSREETEA
1174,1726,JBCHEPHARM
1175,5425,JBFIND-BE
1176,11655,JBMA
1177,4491,JCHAC
1178,13420,JETAIRWAYS-BZ
1179,19170,JETFREIGHT-SM
1180,18699,JETKNIT-SM
1181,13723,JHS-BE
1182,11743,JINDALPHOT
1183,1756,JINDALPOLY
1184,3024,JINDALSAW
1185,6733,JINDALSTEL
1186,13876,JINDRILL-BE
1187,20642,JINDWORLD
1188,25688,JISLDVREQS-BE
1189,10398,JISLJALEQS-BE
1190,19695,JITFINFRA-BE
1191,11755,JIYAECO
1192,13270,JKCEMENT
1193,15266,JKIL
1194,13491,JKLAKSHMI
1195,11860,JKPAPER
1196,14435,JKTYRE
1197,7109,JMA
1198,4430,JMCPROJECT
1199,13637,JMFINANCIL
1200,14474,JMTAUTOLTD-BE
1201,29646,JNPT-N1
1202,16927,JOCIL
1203,11460,JPASSOCIAT
1204,18899,JPINFRATEC-BE
1205,31511,JPOLYINVST-BE
1206,11763,JPPOWER
1207,11236,JSL
1208,12304,JSLHISAR
1209,17869,JSWENERGY
1210,11880,JSWHL
1211,11723,JSWSTEEL
1212,3237,JTEKTINDIA
1213,3637,JUBILANT
1214,18096,JUBLFOOD
1215,21541,JUBLINDS
1216,12052,JUMPNET
1217,10939,JUNIORBEES
1218,29962,JUSTDIAL
1219,18579,JVLAGRO-BZ
1220,15146,JYOTHYLAB
1221,1805,KABRAEXTRU
1222,1808,KAJARIACER
1223,1811,KAKATCEM
1224,1814,KALPATPOWR
1225,19653,KALYANI-BE
1226,15160,KALYANIFRG-BE
1227,1826,KAMATHOTEL
1228,13461,KAMDHENU-BE
1229,25790,KANANIIND-BE
1230,1835,KANORICHEM
1231,1196,KANSAINER
1232,18967,KAPSTON
1233,2360,KARDA-BE
1234,24385,KARMAENG
1235,1838,KARURVYSYA
1236,15140,KAUSHALYA-BE
1237,10282,KAYA-BE
1238,1841,KCP
1239,4809,KCPSUGIND
1240,15012,KDDL-BE
1241,13260,KEC
1242,18220,KECL
1243,21455,KEERTI-SM
1244,13310,KEI
1245,13450,KELLTONTEC-BE
1246,11841,KENNAMET
1247,13125,KERNEX-BE
1248,1859,KESORAMIND
1249,4157,KEYFINSERV
1250,15102,KGL-BZ
1251,433,KHADIM-BE
1252,9641,KHANDSE
1253,9570,KHFM-SM
1254,21119,KICL
1255,19941,KILITCH-BE
1256,18944,KINGFA
1257,19126,KIOCL
1258,16639,KIRIINDUS
1259,14466,KIRLFER
1260,18581,KIRLOSBROS
1261,20936,KIRLOSENG
1262,19025,KIRLOSIND
1263,28899,KITEX
1264,13381,KKCL
1265,17781,KKVAPOW-SM
1266,14667,KMSUGAR
1267,15283,KNRCON
1268,17715,KOHINOOR-BZ
1269,16827,KOKUYOCMLN
1270,15124,KOLTEPATIL
1271,1919,KOPRAN
1272,1922,KOTAKBANK
1273,5851,KOTAKBKETF
1274,14858,KOTAKGOLD
1275,18102,KOTAKNIFTY
1276,11457,KOTAKNV20
1277,15061,KOTAKPSUBK
1278,11647,KOTARISUG
1279,4594,KOTHARIPET
1280,5528,KOTHARIPRO
1281,9683,KPITTECH
1282,14912,KPRMILL
1283,10577,KRBL
1284,1937,KREBSBIO
1285,11488,KRIDHANINF-BE
1286,12860,KRISHANA-BE
1287,5562,KRITIKA-SM
1288,1949,KSB
1289,14972,KSCL
1290,13667,KSERASERA-BE
1291,5341,KSHITIJPOL-SM
1292,18889,KSL
1293,19087,KSOLVES-SM
1294,8054,KTKBANK
1295,13870,KUANTUM
1296,17901,KWALITY-BE
1297,24948,L&TFH
1298,9198,L&TFINANCE-N7
1299,9200,L&TFINANCE-N8
1300,9204,L&TFINANCE-N9
1301,9206,L&TFINANCE-NA
1302,9212,L&TFINANCE-NB
1303,9214,L&TFINANCE-NC
1304,9216,L&TFINANCE-ND
1305,9227,L&TFINANCE-NE
1306,9229,L&TFINANCE-NF
1307,9231,L&TFINANCE-NG
1308,9233,L&TFINANCE-NH
1309,9235,L&TFINANCE-NI
1310,9606,L&TFINANCE-NJ
1311,9612,L&TFINANCE-NK
1312,9614,L&TFINANCE-NL
1313,9618,L&TFINANCE-NM
1314,9622,L&TFINANCE-NN
1315,9624,L&TFINANCE-NO
1316,9630,L&TFINANCE-NP
1317,9644,L&TFINANCE-NQ
1318,9650,L&TFINANCE-NR
1319,9656,L&TFINANCE-NS
1320,9662,L&TFINANCE-NT
1321,9669,L&TFINANCE-NU
1322,9674,L&TFINANCE-NV
1323,9676,L&TFINANCE-NW
1324,15438,L&TFINANCE-NX
1325,15478,L&TFINANCE-NY
1326,15562,L&TFINANCE-NZ
1327,15586,L&TFINANCE-Y1
1328,15604,L&TFINANCE-Y2
1329,15628,L&TFINANCE-Y3
1330,15641,L&TFINANCE-Y4
1331,15656,L&TFINANCE-Y5
1332,15684,L&TFINANCE-Y6
1333,15733,L&TFINANCE-Y7
1334,15763,L&TFINANCE-Y8
1335,15802,L&TFINANCE-Y9
1336,20808,L&TINFRA-N1
1337,20810,L&TINFRA-N2
1338,20812,L&TINFRA-N3
1339,20814,L&TINFRA-N4
1340,22547,L&TINFRA-N5
1341,22549,L&TINFRA-N6
1342,4696,LAGNAM-SM
1343,4774,LAKPRE-BZ
1344,1970,LAKSHVILAS
1345,11654,LALPATHLAB
1346,6407,LAMBODHARA
1347,14423,LAOPALA
1348,21723,LASA-BE
1349,3307,LATTEYS-SM
1350,19234,LAURUSLABS
1351,20236,LAXMICOT-SM
1352,1979,LAXMIMACH
1353,2606,LEMONTREE
1354,21586,LEXUS-ST
1355,7916,LFIC-BE
1356,18321,LGBBROSLTD
1357,16849,LGBFORGE-BE
1358,18475,LGHL-SM
1359,11082,LIBAS
1360,1994,LIBERTSHOE
1361,1997,LICHSGFIN
1362,6062,LICNETFGSC
1363,11319,LICNETFN50
1364,11441,LICNETFSEN
1365,15229,LICNFNHGP
1366,11596,LINCOLN
1367,6951,LINCPEN
1368,1627,LINDEINDIA
1369,11006,LIQUIDBEES
1370,1927,LIQUIDETF
1371,13436,LOKESHMACH
1372,16807,LOTUSEYE
1373,22415,LOVABLE
1374,16867,LPDC-BE
1375,17805,LSIL-BE
1376,11483,LT
1377,17818,LTI
1378,18564,LTTS
1379,2018,LUMAXIND
1380,14014,LUMAXTECH
1381,10440,LUPIN
1382,11301,LUXIND
1383,7248,LYKALABS-BE
1384,31468,LYPSAGEMS
1385,2031,M&M
1386,13285,M&MFIN
1387,20046,M&MFIN-N1
1388,20048,M&MFIN-N2
1389,20050,M&MFIN-N3
1390,21423,M100
1391,19289,M50
1392,15017,MAANALU
1393,2090,MACPOWER-SM
1394,15151,MADHAV
1395,4911,MADRASFERT
1396,21392,MAGADSUGAR
1397,11403,MAGMA
1398,9946,MAGMA-N1
1399,9948,MAGMA-N2
1400,9950,MAGMA-N3
1401,9966,MAGMA-N4
1402,9969,MAGMA-N5
1403,9975,MAGMA-N6
1404,9982,MAGMA-N7
1405,14961,MAGNUM-BE
1406,11377,MAHABANK
1407,8679,MAHAPEXLTD-BE
1408,17527,MAHASTEEL
1409,17603,MAHEPC
1410,9576,MAHESHWARI
1411,2839,MAHICKRA-SM
1412,14937,MAHINDCIE
1413,8050,MAHLIFE
1414,385,MAHLOG
1415,2085,MAHSCOOTER
1416,2088,MAHSEAMLES
1417,24538,MAITHANALL
1418,10310,MAJESCO
1419,13352,MALUPAPER
1420,6353,MAN50ETF
1421,7420,MANAKALUCO
1422,7413,MANAKCOAT
1423,15199,MANAKSIA
1424,7463,MANAKSTEEL
1425,13796,MANALIPETC
1426,19061,MANAPPURAM
1427,21697,MANAV-SM
1428,11820,MANGALAM-BE
1429,15007,MANGCHEFER
1430,2106,MANGLMCEM
1431,2109,MANGTIMBER
1432,11884,MANINDS
1433,18226,MANINFRA
1434,13575,MANUGRAPH-BE
1435,17181,MANXT50
1436,2112,MARALOVER
1437,18659,MARATHON
1438,4067,MARICO
1439,5598,MARINE-SM
1440,10579,MARKSANS
1441,4623,MARSHALL-SM
1442,10999,MARUTI
1443,199,MASFIN
1444,18731,MASKINVEST-BE
1445,2124,MASTEK
1446,21726,MATRIMONY
1447,17026,MAWANASUG-BE
1448,17468,MAXVIL
1449,28906,MAYURUNIQ
1450,18866,MAZDA
1451,12705,MBAPL-BE
1452,13687,MBECL-BE
1453,18033,MBLINFRA-BE
1454,14662,MCDHOLDING
1455,10447,MCDOWELL-N
1456,19607,MCL-SM
1457,11944,MCLEODRUSS-BE
1458,31181,MCX
1459,2132,MDL-SM
1460,14793,MEGASOFT
1461,14750,MEGH
1462,17950,MELSTAR-BZ
1463,6961,MENONBE
1464,8779,MEP-BE
1465,11879,MERCATOR-BE
1466,7883,METALFORGE-BE
1467,10996,METKORE-BZ
1468,9581,METROPOLIS
1469,2142,MFSL
1470,14799,MGEL-SM
1471,17534,MGL
1472,1426,MHHL-SM
1473,17333,MHRIL
1474,2463,MIDHANI
1475,159,MILTON-SM
1476,25897,MINDACORP
1477,14154,MINDAIND
1478,8900,MINDPOOL-SM
1479,18049,MINDTECK
1480,14356,MINDTREE
1481,6853,MIRCELECTR-BE
1482,4394,MIRZAINT
1483,31461,MITCON-SM
1484,18562,MITTAL
1485,20509,MKPL-SM
1486,13844,MMFL
1487,9267,MMNL-IT
1488,16395,MMP
1489,17957,MMTC
1490,6934,MODIRUBBER-BE
1491,29423,MOHITIND
1492,10373,MOHOTAIND-BE
1493,20830,MOIL
1494,924,MOKSH-SM
1495,17625,MOLDTECH
1496,6713,MOLDTKPAC
1497,5938,MONTECARLO
1498,28877,MORARJEE
1499,2259,MOREPENLAB
1500,4204,MOTHERSUMI
1501,14947,MOTILALOFS
1502,8793,MOTOGENFIN-BE
1503,4503,MPHASIS
1504,10578,MPSLTD
1505,21792,MPTODAY-SM
1506,2277,MRF
1507,5130,MRO-IT
1508,8998,MRO-TEK
1509,2283,MRPL
1510,11922,MSPL-BE
1511,9356,MSTCLTD
1512,31409,MTEDUCARE
1513,2294,MTNL
1514,8348,MUKANDENGG-BE
1515,11326,MUKANDLTD-BE
1516,11329,MUKANDLTD-P1
1517,8691,MUKTAARTS-BE
1518,13511,MUNJALAU
1519,2307,MUNJALSHOW
1520,2313,MURUDCERA
1521,10415,MUTHOOTCAP
1522,23650,MUTHOOTFIN
1523,22739,N100
1524,20032,NABARD-N1
1525,20034,NABARD-N2
1526,20425,NACLIND
1527,17299,NAGAFERT-BE
1528,14942,NAGREEKCAP
1529,14702,NAGREEKEXP
1530,15360,NAHARCAP
1531,13106,NAHARINDUS
1532,14445,NAHARPOLY
1533,14440,NAHARSPING
1534,357,NAM-INDIA
1535,18706,NANDANI-SM
1536,2726,NARMADA-SM
1537,3918,NATCOPHARM
1538,11065,NATHBIOGEN
1539,6364,NATIONALUM
1540,8682,NATNLSTEEL-BE
1541,13751,NAUKRI
1542,14672,NAVINFLUOR
1543,10557,NAVKARCORP
1544,2385,NAVNETEDUL
1545,31415,NBCC
1546,19111,NBIFIN
1547,4014,NBVENTURES
1548,2319,NCC
1549,14490,NCLIND
1550,18371,NDGL
1551,31258,NDL
1552,11430,NDTV-BE
1553,13522,NECCLTD
1554,11927,NECLIFE
1555,14761,NELCAST
1556,2388,NELCO
1557,9917,NEOGEN
1558,15409,NESCO
1559,17963,NESTLEIND
1560,7838,NETF
1561,2435,NETFCONSUM
1562,2636,NETFDIVOPP
1563,19084,NETFIT
1564,17700,NETFLTGILT
1565,8506,NETFMID150
1566,29577,NETFNIF100
1567,9847,NETFNV20
1568,14111,NETWORK18
1569,2406,NEULANDLAB
1570,1164,NEWGEN
1571,9864,NEXTMEDIA-BE
1572,13925,NFL
1573,11840,NH
1574,31038,NHAI-N1
1575,31040,NHAI-N2
1576,176,NHAI-N3
1577,180,NHAI-N4
1578,186,NHAI-N5
1579,192,NHAI-N6
1580,11949,NHAI-N7
1581,11952,NHAI-N8
1582,11954,NHAI-N9
1583,12003,NHAI-NA
1584,14497,NHAI-NB
1585,14499,NHAI-NC
1586,14522,NHAI-ND
1587,14529,NHAI-NE
1588,31965,NHBTF2014-N1
1589,31966,NHBTF2014-N2
1590,31967,NHBTF2014-N3
1591,31968,NHBTF2014-N4
1592,31969,NHBTF2014-N5
1593,31970,NHBTF2014-N6
1594,29616,NHBTF2023-N1
1595,1754,NHBTF2023-N2
1596,1758,NHBTF2023-N3
1597,1761,NHBTF2023-N4
1598,1763,NHBTF2023-N5
1599,1765,NHBTF2023-N6
1600,1767,NHBTF2023-N7
1601,17400,NHPC
1602,31482,NHPC-N1
1603,31483,NHPC-N2
1604,31484,NHPC-N3
1605,31485,NHPC-N4
1606,31486,NHPC-N5
1607,31487,NHPC-N6
1608,399,NIACL
1609,29737,NIBL-BE
1610,10576,NIFTYBEES
1611,9059,NIFTYEES
1612,11522,NIITLTD
1613,11543,NIITTECH
1614,9253,NILAINFRA
1615,7411,NILASPACES
1616,2421,NILKAMAL
1617,6782,NIPPOBATRY
1618,18844,NIRAJISPAT-BE
1619,13300,NITCO
1620,13320,NITINFIRE-BZ
1621,13175,NITINSPIN
1622,19817,NITIRAJ-SM
1623,9409,NKIND-BE
1624,8585,NLCINDIA
1625,15332,NMDC
1626,2442,NOCIL
1627,11214,NOIDATOLL-BE
1628,4160,NORBTEAEXP
1629,12978,NPBET
1630,20314,NRAIL
1631,7553,NRBBEARING
1632,11239,NSIL
1633,30554,NTL-BE
1634,11630,NTPC
1635,31758,NTPC-N1
1636,31760,NTPC-N2
1637,31762,NTPC-N3
1638,31764,NTPC-N4
1639,31766,NTPC-N5
1640,31768,NTPC-N6
1641,7377,NTPC-N7
1642,10737,NTPC-N8
1643,10741,NTPC-N9
1644,10744,NTPC-NA
1645,10746,NTPC-NB
1646,10749,NTPC-NC
1647,10751,NTPC-ND
1648,10791,NUCLEUS
1649,14547,NXTDIGITAL
1650,10768,OAL
1651,20242,OBEROIRLTY
1652,12231,OCCL
1653,10738,OFSS
1654,17438,OIL
1655,8109,OILCOUNTUB-BE
1656,16843,OISL-BE
1657,10637,OLECTRA
1658,10922,OMAXAUTO
1659,14853,OMAXE
1660,117,OMFURN-SM
1661,21515,OMKARCHEM-BE
1662,24235,OMMETALS-BE
1663,25492,ONELIFECAP
1664,9939,ONEPOINT
1665,2475,ONGC
1666,15278,ONMOBILE
1667,2481,ONWARDTEC
1668,29747,OPAL-SM
1669,21473,OPTIEMUS-BE
1670,11526,OPTOCIRCUI-BE
1671,31475,ORBTEXP
1672,10159,ORICONENT
1673,13111,ORIENTABRA
1674,14350,ORIENTALTL-BE
1675,14278,ORIENTBELL
1676,30089,ORIENTCEM
1677,2972,ORIENTELEC
1678,6537,ORIENTHOT-BE
1679,18211,ORIENTLTD-BE
1680,2496,ORIENTPPR
1681,31163,ORIENTREF
1682,19931,ORISSAMINE
1683,13321,ORTEL-BZ
1684,10410,ORTINLABSS-BE
1685,10435,OSEINTRUST-IV
1686,9524,OSIAHYPER-SM
1687,2514,OSWALAGRO
1688,3597,OSWALSEEDS-SM
1689,2723,PAEL
1690,14413,PAGEIND
1691,25468,PAISALO
1692,21387,PALASHSECU-BE
1693,17059,PALREDTEC-BE
1694,4055,PANACEABIO
1695,16292,PANACHE
1696,25392,PANAMAPET
1697,18776,PANSARI-SM
1698,2562,PAPERPROD
1699,10037,PAR-SM
1700,17676,PARABDRUGS-BZ
1701,13951,PARACABLES
1702,17130,PARAGMILK
1703,5460,PARIN-SM
1704,13795,PARSVNATH-BE
1705,21657,PASHUPATI-SM
1706,11699,PATELENG
1707,15219,PATINTLOG
1708,9657,PATSPINLTD-BE
1709,29124,PCJEWELLER
1710,15377,PDMJEPAPER
1711,5264,PDSMFL
1712,8188,PEARLPOLY-BE
1713,2412,PEL
1714,16905,PEL-D2
1715,20621,PENIND
1716,2256,PENINLAND
1717,2822,PENTAGOLD-SM
1718,11250,PERFECT-SM
1719,18365,PERSISTENT
1720,11351,PETRONET
1721,14299,PFC
1722,19972,PFC-N1
1723,19974,PFC-N2
1724,19976,PFC-N3
1725,19978,PFC-N4
1726,20022,PFC-N5
1727,20024,PFC-N6
1728,20026,PFC-N7
1729,20028,PFC-N8
1730,2643,PFIZER
1731,13496,PFOCUS
1732,22602,PFS
1733,25358,PGEL
1734,2535,PGHH
1735,940,PGHL
1736,14260,PGIL
1737,2649,PHILIPCARB
1738,14552,PHOENIXLTD
1739,2664,PIDILITIND
1740,2738,PIGL-SM
1741,24184,PIIND
1742,11445,PILANIINVS
1743,30838,PILITA-BE
1744,18992,PIONDIST
1745,13463,PIONEEREMB
1746,14134,PITTIENG
1747,10318,PKTEA-BE
1748,13920,PLASTIBLEN
1749,10666,PNB
1750,8736,PNBGILTS
1751,18908,PNBHOUSING
1752,9342,PNC
1753,9385,PNCINFRA
1754,20446,PODDARHOUS
1755,19036,PODDARMENT
1756,17655,POKARNA-BE
1757,9590,POLYCAB
1758,25718,POLYMED
1759,2687,POLYPLEX
1760,10661,PONNIERODE
1761,4490,POWERFUL-SM
1762,14977,POWERGRID
1763,18457,POWERINDIA
1764,10473,POWERMECH
1765,15209,PPAP
1766,10297,PPL
1767,10650,PRABHAT
1768,18357,PRADIP
1769,13941,PRAENG
1770,2705,PRAJIND
1771,2708,PRAKASH
1772,19603,PRAKASHSTL-BE
1773,1216,PRAXIS-BE
1774,12603,PRECAM
1775,2711,PRECOT
1776,2717,PRECWIRE
1777,17415,PREMEXPLN-BE
1778,6248,PREMIER-BE
1779,3908,PREMIERPOL
1780,11671,PRESSMN
1781,20302,PRESTIGE
1782,19631,PRICOLLTD
1783,11864,PRIMESECU
1784,16045,PRINCEPIPE
1785,3612,PRITI-SM
1786,19352,PROLIFE-SM
1787,28859,PROZONINTU
1788,2739,PRSMJOHNSN
1789,21001,PSB
1790,2755,PSL
1791,20877,PSPPROJECT
1792,15032,PSUBNKBEES
1793,11355,PTC
1794,14101,PTL
1795,507,PULZ-SM
1796,4344,PUNJABCHEM
1797,13396,PUNJLLOYD-BZ
1798,14922,PURVA
1799,21245,PUSHPREALM-SM
1800,13147,PVR
1801,19392,PVR-RE-BE
1802,15330,QGOLDHALF
1803,16819,QNIFTY
1804,17704,QUESS
1805,13116,QUICKHEAL
1806,11268,RADAAN-BE
1807,10990,RADICO
1808,19877,RADIOCITY
1809,15337,RAIN
1810,7401,RAJESHEXPO
1811,5374,RAJMET-SM
1812,18962,RAJRATAN
1813,8610,RAJSREESUG-BE
1814,14403,RAJTV
1815,2816,RALLIS
1816,13565,RAMANEWS
1817,10300,RAMASTEEL
1818,2043,RAMCOCEM
1819,4587,RAMCOIND
1820,7851,RAMCOSYS
1821,20134,RAMKY
1822,11694,RANASUG-BE
1823,16751,RANEENGINE
1824,2844,RANEHOLDIN
1825,13451,RATNAMANI
1826,2859,RAYMOND
1827,16745,RBL
1828,18391,RBLBANK
1829,2866,RCF
1830,13188,RCOM-BE
1831,15355,RECLTD
1832,29109,RECLTD-N1
1833,29111,RECLTD-N2
1834,29612,RECLTD-N3
1835,29614,RECLTD-N4
1836,30982,RECLTD-N5
1837,30984,RECLTD-N6
1838,30986,RECLTD-N7
1839,30988,RECLTD-N8
1840,30990,RECLTD-N9
1841,30992,RECLTD-NA
1842,2931,RECLTD-NB
1843,2933,RECLTD-NC
1844,2935,RECLTD-ND
1845,2941,RECLTD-NE
1846,2947,RECLTD-NF
1847,2953,RECLTD-NG
1848,19926,RECLTD-NH
1849,19924,RECLTD-NI
1850,14255,REDINGTON
1851,17764,REFEX
1852,24225,RELAXO
1853,4692,RELCAPITAL-BE
1854,51,RELIABLE-SM
1855,2885,RELIANCE
1856,18974,RELIANCEPP-E1
1857,15068,RELIGARE
1858,553,RELINFRA
1859,3965,REMSONSIND
1860,12026,RENUKA
1861,29598,REPCOHOME
1862,3985,REPL-SM
1863,13126,REPRO
1864,20323,RESPONIND
1865,11961,REVATHI
1866,15129,RGL
1867,21737,RHFL-BE
1868,19337,RHFL-N3
1869,19339,RHFL-N4
1870,19341,RHFL-N5
1871,19343,RHFL-N6
1872,19345,RHFL-N7
1873,19347,RHFL-N8
1874,2909,RICOAUTO
1875,2912,RIIL
1876,3761,RITES
1877,20950,RKDL
1878,21886,RKEC-SM
1879,11411,RKFORGE
1880,15097,RMCL-BE
1881,21816,RMDRIP-SM
1882,11975,RML
1883,17448,RNAVAL-BE
1884,13390,ROHITFERRO-BE
1885,13182,ROHLTD
1886,19108,ROLLT-BE
1887,5982,ROLTA-BE
1888,19410,ROSSARI
1889,28913,ROSSELLIND
1890,16725,RPGLIFE
1891,15259,RPOWER
1892,20760,RPPINFRA
1893,4744,RPPL-SM
1894,6429,RSSOFTWARE
1895,2794,RSWM
1896,13414,RSYSTEMS
1897,27301,RTNINFRA-BE
1898,17520,RTNPOWER
1899,2939,RUBYMILLS
1900,17030,RUCHI-BE
1901,8423,RUCHINFRA-BE
1902,13821,RUCHIRA
1903,25724,RUPA
1904,24595,RUSHIL
1905,9552,RVNL
1906,8733,S&SPOWER-BE
1907,18501,SABEVENTS-BE
1908,13236,SADBHAV
1909,10618,SADBHIN
1910,13035,SAFARI
1911,8175,SAGARDEEP
1912,14068,SAGCEM
1913,2963,SAIL
1914,9539,SAKAR
1915,7509,SAKHTISUG-BE
1916,11794,SAKSOFT
1917,13255,SAKUMA-BE
1918,21366,SALASAR-BE
1919,17351,SALONA
1920,11637,SALSTEEL-BE
1921,11399,SALZERELEC
1922,4127,SAMBHAAV
1923,19049,SANCO
1924,2988,SANDESH
1925,2397,SANDHAR
1926,4184,SANGAMIND
1927,2997,SANGHIIND
1928,23824,SANGHVIFOR
1929,14058,SANGHVIMOV
1930,11032,SANGINITA
1931,1442,SANOFI
1932,13325,SANWARIA-BE
1933,17758,SARDAEN
1934,4892,SAREGAMA
1935,14043,SARLAPOLY
1936,1798,SARVESHWAR-SM
1937,11983,SASKEN
1938,20063,SASTASUNDR
1939,13899,SATHAISPAT-BE
1940,11045,SATIA
1941,10453,SATIN
1942,17971,SBICARD
1943,7218,SBIETFQLTY
1944,21808,SBILIFE
1945,3045,SBIN
1946,20520,SBIN-N2
1947,22354,SBIN-N5
1948,22356,SBIN-N6
1949,27,SCAPDVR-BE
1950,1011,SCHAEFFLER
1951,20702,SCHAND-BE
1952,31234,SCHNEIDER
1953,3048,SCI
1954,1338,SDBL
1955,2616,SEAMECLTD
1956,13025,SECL-SM
1957,412,SECURCRED-SM
1958,13598,SELAN
1959,18453,SELMCL-BZ
1960,27307,SEPOWER-BE
1961,14296,SEQUENT
1962,21599,SERVOTECH-SM
1963,3066,SESHAPAPER
1964,17514,SETCO
1965,17395,SETF10GILT
1966,17272,SETFGOLD
1967,10176,SETFNIF50
1968,7361,SETFNIFBK
1969,7353,SETFNN50
1970,25418,SETUINFRA-BE
1971,10828,SEYAIND
1972,570,SEZAL-BZ
1973,19184,SFL
1974,18862,SGBAPR28I-GB
1975,18429,SGBAUG24-GB
1976,12904,SGBAUG27-GB
1977,15432,SGBDC27VII-GB
1978,623,SGBDEC25-GB
1979,795,SGBDEC2512-GB
1980,862,SGBDEC2513-GB
1981,729,SGBDEC25XI-GB
1982,7654,SGBDEC26-GB
1983,18385,SGBFEB24-GB
1984,8766,SGBFEB27-GB
1985,17664,SGBFEB28IX-GB
1986,17110,SGBJ28VIII-GB
1987,945,SGBJAN26-GB
1988,8308,SGBJAN27-GB
1989,21477,SGBJUL25-GB
1990,11154,SGBJUL27-GB
1991,10261,SGBJUN27-GB
1992,19078,SGBJUN28-GB
1993,18386,SGBMAR24-GB
1994,20467,SGBMAR25-GB
