,instrument_token,tradingsymbol
219,4487,ALKYLAMINE
220,13501,ALLCARGO
221,11798,ALLSEC
222,16719,ALMONDZ
223,17675,ALOKINDS
224,14848,ALPA
225,14597,ALPHAGEO
226,7623,ALPSINDUS-BE
227,100,AMARAJABAT
228,4083,AMBANIORG-SM
229,1185,AMBER
230,15234,AMBIKCO
231,1270,AMBUJACEM
232,14398,AMDIND
233,2598,AMJLAND
234,1353,AMJUMBO-SM
235,17547,AMRUTANJAN
236,13620,ANANTRAJ
237,20423,ANDHRACEMT-BE
238,166,ANDHRAPAP
239,136,ANDHRSUGAR
240,16657,ANIKINDS
241,29434,ANKITMETAL-BE
242,8760,ANSALAPI-BE
243,13677,ANSALHSG-BE
244,9014,ANUP
245,11491,APARINDS
246,20453,APCL
247,154,APCOTEXIND
248,21623,APEX
249,25780,APLAPOLLO
250,25328,APLLTD
251,1134,APOLLO
252,157,APOLLOHOSP
253,14361,APOLLOPIPE
254,163,APOLLOTYRE
255,6302,APOLSINHOT
256,10755,APTECHT
257,16795,ARCHIDPLY
258,5688,ARCHIES
259,2519,ARCOTECH-BE
260,181,ARENTERP
261,15204,ARIES
262,13885,ARIHANT
263,20175,ARIHANTSUP-BE
264,17263,ARMANFIN
265,14557,AROGRANITE
266,9264,ARROWGREEN-BE
267,17825,ARSHIYA-BE
268,18202,ARSSINFRA
269,17969,ARTEDZ-SZ
270,16913,ARTEMISMED
271,18796,ARTNIRMAN-SM
272,1470,ARVEE-SM
273,193,ARVIND
274,9111,ARVINDFASN
275,10457,ARVSMART
276,5378,ASAHIINDIA
277,25088,ASAHISONG
278,11643,ASAL-BE
279,17598,ASALCBR
280,15001,ASCOM-SM
281,203,ASHAPURMIN
282,24403,ASHIANA
283,7895,ASHIMASYN-BE
284,20182,ASHOKA
285,212,ASHOKLEY
286,18422,ASIANHOTNR
287,236,ASIANPAINT
288,14889,ASIANTILES
289,20502,ASLIND-SM
290,17270,ASPINWALL
291,17728,ASTEC
292,1508,ASTERDM
293,14418,ASTRAL
